Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
30th December 2009,5,9,23,30,34,36,24
26th December 2009,5,14,34,38,40,43,36
23rd December 2009,1,5,9,11,22,38,27
19th December 2009,12,15,19,41,42,49,48
16th December 2009,4,22,23,46,48,49,18
12th December 2009,16,20,26,31,38,49,42
9th December 2009,1,15,17,26,28,38,44
5th December 2009,8,10,14,22,28,29,2
2nd December 2009,2,4,24,25,47,48,44
28th November 2009,17,26,27,28,33,49,43
25th November 2009,5,10,16,19,33,47,24
21st November 2009,18,25,35,43,46,47,4
18th November 2009,2,4,13,24,30,42,9
14th November 2009,1,9,19,25,31,41,42
11th November 2009,1,19,23,24,25,43,5
7th November 2009,12,15,18,25,29,32,14
4th November 2009,2,7,8,18,20,37,12
31st October 2009,5,24,31,34,35,44,46
28th October 2009,18,26,32,34,43,44,37
24th October 2009,5,13,25,34,36,46,41
21st October 2009,2,11,29,32,48,49,34
17th October 2009,8,17,24,34,42,46,5
14th October 2009,4,17,19,22,24,46,30
10th October 2009,5,11,12,22,23,26,41
7th October 2009,2,4,12,24,36,38,16
3rd October 2009,14,19,27,32,45,49,34
30th September 2009,4,10,29,33,39,46,2
26th September 2009,5,6,14,18,30,35,2
23rd September 2009,4,8,11,12,34,43,22
19th September 2009,1,7,23,29,30,33,9
16th September 2009,6,17,36,41,42,49,1
12th September 2009,3,12,13,36,46,48,9
9th September 2009,3,6,17,27,28,44,43
5th September 2009,12,13,27,32,45,46,18
2nd September 2009,4,6,9,30,33,49,13
29th August 2009,9,10,26,29,32,37,12
26th August 2009,4,6,9,29,33,49,15
22nd August 2009,15,19,23,38,43,49,33
19th August 2009,5,6,22,23,25,27,32
15th August 2009,5,6,15,31,38,39,36
12th August 2009,7,10,31,32,42,47,30
8th August 2009,11,22,31,32,40,49,13
5th August 2009,2,5,12,31,34,48,44
1st August 2009,13,14,24,31,40,48,44
29th July 2009,3,23,29,37,44,45,39
25th July 2009,10,19,29,32,38,44,3
22nd July 2009,8,14,24,36,40,42,19
18th July 2009,2,4,15,39,45,49,37
15th July 2009,3,5,16,26,40,45,31
11th July 2009,9,11,18,23,29,40,26
8th July 2009,12,32,35,36,37,46,23
4th July 2009,1,14,23,27,32,44,48
1st July 2009,2,5,19,26,29,31,28
27th June 2009,5,15,28,31,32,45,11
24th June 2009,13,19,23,33,38,48,2
20th June 2009,4,5,19,28,31,38,34
17th June 2009,4,5,8,15,19,40,22
13th June 2009,1,15,20,30,41,48,10
10th June 2009,9,27,28,40,45,48,24
6th June 2009,11,12,18,21,30,37,1
3rd June 2009,5,6,14,30,38,39,34
30th May 2009,1,7,19,21,39,45,42
27th May 2009,3,4,24,26,29,49,13
23rd May 2009,7,8,15,24,27,32,34
20th May 2009,4,22,26,29,39,48,31
16th May 2009,16,17,23,27,30,45,39
13th May 2009,6,10,24,28,31,46,25
9th May 2009,14,19,23,31,34,39,24
6th May 2009,1,4,9,20,30,44,18
2nd May 2009,8,15,17,22,30,40,11
29th April 2009,8,20,22,29,33,49,48
25th April 2009,1,11,17,29,31,46,35
22nd April 2009,10,12,21,38,41,42,28
18th April 2009,4,5,21,33,42,47,24
15th April 2009,6,13,23,34,41,43,27
11th April 2009,5,6,7,11,17,34,48
8th April 2009,2,5,13,24,35,43,18
4th April 2009,17,20,22,37,40,48,33
1st April 2009,4,6,24,32,46,48,8
28th March 2009,6,10,33,39,40,48,43
25th March 2009,9,16,34,42,44,48,13
18th March 2009,11,27,29,33,34,44,36
14th March 2009,4,11,13,16,41,45,35
11th March 2009,2,18,20,23,24,48,30
7th March 2009,8,12,14,22,29,49,11
4th March 2009,7,15,23,25,27,40,43
28th February 2009,2,8,26,46,48,49,34
25th February 2009,5,11,26,31,36,39,4
21st February 2009,11,20,33,34,37,39,22
18th February 2009,11,17,34,37,41,49,5
14th February 2009,16,25,29,37,45,49,20
11th February 2009,1,6,17,19,41,42,31
7th February 2009,14,20,24,30,34,37,31
4th February 2009,15,16,22,31,43,44,32
31st January 2009,14,15,20,28,34,39,41
28th January 2009,1,6,20,22,24,46,36
24th January 2009,9,13,20,29,45,46,5
21st January 2009,8,32,34,39,43,48,25
17th January 2009,8,12,20,28,39,47,10
14th January 2009,20,35,36,37,39,49,38
10th January 2009,11,17,18,25,27,34,19
7th January 2009,10,13,19,35,39,41,4
3rd January 2009,4,13,17,25,36,48,28
